FACÇÃO-DUQUE DE CAXIAS-VILA IDEAL,4
MILÍCIA-ITAGUAÍ-VILA IBIRAPITANGA,10
FACÇÃO-ITAGUAÍ-VILA IBIRAPITANGA,5
MILÍCIA-NOVA IGUAÇU-VILA GUIMARÃES,3
FACÇÃO-NOVA IGUAÇU-VILA GUIMARÃES,1
FACÇÃO-DUQUE DE CAXIAS-VILA GUANABARA,2
MILÍCIA-DUQUE DE CAXIAS-VILA GUANABARA,2
MILÍCIA-ITAGUAÍ-VILA GENY,8
MILÍCIA-NOVA IGUAÇU-VILA GAÚCHA,1
FACÇÃO-MAGÉ-VILA ESPERANÇA,2
MILÍCIA-BELFORD ROXO-VILA ESPERANÇA,2
MILÍCIA-MESQUITA-VILA EMIL,2
FACÇÃO-MESQUITA-VILA EMIL,1
MILÍCIA-DUQUE DE CAXIAS-VILA EMA,2
MILÍCIA-SÃO JOÃO DE MERITI-VILA DOS TELES,1
MILÍCIA-NOVA IGUAÇU-VILA DE CAVA,14
FACÇÃO-NOVA IGUAÇU-VILA DE CAVA,1
FACÇÃO-BELFORD ROXO-VILA DAGMAR,1
MILÍCIA-RIO DE JANEIRO-VILA DA PENHA,5
FACÇÃO-MAGÉ-VILA DA LIBERDADE,1
MILÍCIA-RIO DE JANEIRO-VILA COSMOS,4
FACÇÃO-RIO DE JANEIRO-VILA COSMOS,1
FACÇÃO-SÃO JOÃO DE MERITI-VILA COLÚMBIA,1
MILÍCIA-QUEIMADOS-VILA COIMBRA,1
FACÇÃO-DUQUE DE CAXIAS-VILA CENTENÁRIO,16
MILÍCIA-DUQUE DE CAXIAS-VILA CENTENÁRIO,2
MILÍCIA-QUEIMADOS-VILA CAMARIM,1
MILÍCIA-DUQUE DE CAXIAS-VILA CAETANO MADEIRA,1
FACÇÃO-ITABORAÍ-VILA BRASIL,10
MILÍCIA-NOVA IGUAÇU-VILA BORGERTH,1
MILÍCIA-NOVA IGUAÇU-VILA BANDEIRANTES,3
FACÇÃO-SÃO JOÃO DE MERITI-VILA ANDORINHAS,17
MILÍCIA-QUEIMADOS-VILA AMERICANA,1
MILÍCIA-DUQUE DE CAXIAS-VILA ACTURA,3
FACÇÃO-RIO DE JANEIRO-VIGÁRIO GERAL,10
MILÍCIA-RIO DE JANEIRO-VIGÁRIO GERAL,2
FACÇÃO-RIO DE JANEIRO-VIDIGAL,10
FACÇÃO-RIO DE JANEIRO-VICENTE DE CARVALHO,48
MILÍCIA-RIO DE JANEIRO-VICENTE DE CARVALHO,3
MILÍCIA-SÃO JOÃO DE MERITI-VENDA VELHA,14
FACÇÃO-SÃO JOÃO DE MERITI-VENDA VELHA,2
FACÇÃO-ITABORAÍ-VENDA DAS PEDRAS,2
FACÇÃO-RIO DE JANEIRO-VAZ LOBO,5
MILÍCIA-RIO DE JANEIRO-VAZ LOBO,1
FACÇÃO-SÃO GONÇALO-VÁRZEA DAS MOÇAS,2
FACÇÃO-NITERÓI-VÁRZEA DAS MOÇAS,1
MILÍCIA-NITERÓI-VÁRZEA DAS MOÇAS,1
MILÍCIA-RIO DE JANEIRO-VARGEM PEQUENA,25
MILÍCIA-RIO DE JANEIRO-VARGEM GRANDE,32
MILÍCIA-NOVA IGUAÇU-VALVERDE,47
FACÇÃO-BELFORD ROXO-VALE DO IPÊ,1
MILÍCIA-BELFORD ROXO-VALE DO IPÊ,1
MILÍCIA-GUAPIMIRIM-VALE DAS PEDRINHAS,1
FACÇÃO-RIO DE JANEIRO-TURIAÇU,22
MILÍCIA-RIO DE JANEIRO-TURIAÇU,2
FACÇÃO-SÃO GONÇALO-TRINDADE,48
FACÇÃO-SÃO GONÇALO-TRIBOBÓ,39
