Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
January,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,95,EASYJET,IPS
January,Economy,UK,UK,93,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,94,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,54,EASYJET,IPS
January,Business Class,UK,UK,259,BRITISH AIRWAYS,IPS
January,Business Class,UK,UK,207,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,36,BMI,IPS
February,Economy,UK,UK,69,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,31,BMI,IPS
February,Economy,UK,UK,87,BRITISH AIRWAYS,IPS
February,Economy,UK,EEA,114,RYANAIR,IPS
January,Economy,UK,UK,212,BMI,IPS
February,Economy,UK,EEA,114,RYANAIR,IPS
February,Economy,UK,UK,71,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,263,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,79,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,88,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,130,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,222,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,186,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,296,BMI,IPS
January,Economy,UK,UK,142,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,196,BMI,IPS
January,Economy,UK,UK,128,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,Non EEA,385,KLM-ROYAL DUTCH AIRLINES,IPS
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS
February,Economy,UK,Non EEA,772,QATAR AIRWAYS,IPS
February,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS
February,Economy,UK,UK,58,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,58,EASYJET,IPS
February,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,617,QANTAS AIRWAYS,IPS
February,Economy,UK,UK,87,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,152,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,105,BRITISH AIRWAYS,IPS
February,Business Class,UK,UK,162,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,115,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,63,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,161,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,137,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,143,BMI,IPS
February,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,137,FLYBE BRITISH EUROPEAN,IPS
February,Business Class,UK,UK,162,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,101,EASYJET,IPS
February,Economy,UK,UK,102,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,88,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,291,BMI,IPS
February,Economy,UK,UK,66,FLYBE BRITISH EUROPEAN,IPS
February,Business Class,UK,UK,155,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,124,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,212,BMI,IPS
February,Economy,UK,UK,48,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,184,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,235,BMI,IPS
February,Economy,UK,UK,49,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,127,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,60,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,68,EASYJET,IPS
January,Economy,UK,UK,74,FLYBE BRITISH EUROPEAN,ISA
January,Economy,UK,UK,121,EASTERN AIRWAYS,ISA
January,Economy,Non EEA,UK,357,VIRGIN ATLANTIC,OSCT
January,Economy,UK,UK,104,FLYBE BRITISH EUROPEAN,SIG
February,Economy,UK,UK,91,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,67,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,104,FLYBE BRITISH EUROPEAN,SIG
January,Economy,UK,UK,61,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,132,BMI BABY,Strategic Director Border
January,Economy,UK,UK,196,BMI,Strategic Director Border
January,Economy,UK,UK,296,BMI,Crime & Policing Group
February,Economy,UK,UK,36,BRITISH AIRWAYS,HROD
March,Premium Economy,UK,Non EEA,623,BRITISH AIRWAYS,Strategy & Reform Directorate
February,Economy,UK,UK,82,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,187,FLYBE BRITISH EUROPEAN,Policy & Strategy
January,Economy,UK,EEA,299,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,111,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Premium Economy,UK,Non EEA,623,VIRGIN ATLANTIC,Strategy & Reform Directorate
February,Economy,UK,UK,62,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,82,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,HMIC
January,Economy,UK,EEA,198,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,89,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,136,BMI,Strategic Director Border
January,Economy,UK,UK,112,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,224,FLYBE BRITISH EUROPEAN,Resource Management Group
January,Economy,UK,UK,279,BRITISH AIRWAYS,Strategy & Reform Directorate
February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Science & Research Group
January,Economy,UK,UK,171,BRITISH AIRWAYS,Strategic Director Border
January,Economy,EEA,UK,108,JET2COM,Immigration Group
January,Business Class,UK,UK,219,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,114,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,296,BMI,Legal Advisors Branch
February,Economy,UK,UK,168,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,147,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,80,FLYBE BRITISH EUROPEAN,HMIC
January,Economy,UK,UK,71,EASYJET,Science & Research Group
January,Business Class,UK,UK,119,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,103,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate
February,Economy,UK,UK,158,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,171,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
February,Economy,UK,UK,151,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,116,FLYBE BRITISH EUROPEAN,HMIC
February,Economy,UK,UK,136,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,64,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate
January,Economy,UK,UK,279,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,59,FLYBE BRITISH EUROPEAN,HMIC
February,Economy,UK,UK,136,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,Non EEA,941,VIRGIN ATLANTIC,International Group
February,Business Class,UK,UK,142,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
February,Economy,UK,UK,169,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,263,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,79,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,UK,82,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,112,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,212,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,71,EASYJET,Science & Research Group
January,Economy,UK,UK,101,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,95,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,Non EEA,246,LUFTHANSA GERMAN AIRLINES,Strategic Director Border
January,Economy,UK,UK,62,MANX2,Immigration Group
January,Economy,UK,UK,235,AIR SOUTHWEST,HMIC
February,Economy,UK,UK,82,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,EEA,UK,29,EASYJET,SIG
January,Business Class,UK,UK,219,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,130,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,94,BMI,Strategic Director Border
February,Economy,UK,UK,98,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,136,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,42,BRITISH AIRWAYS,HROD
February,Economy,UK,Non EEA,532,BRITISH AIRWAYS,OSCT
March,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,OSCT
March,Economy,UK,UK,152,FLYBE BRITISH EUROPEAN,OSCT
January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group
January,Business Class,UK,UK,204,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,105,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,147,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,224,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,195,BRITISH AIRWAYS,Finance & Commercial Group
February,Economy,UK,UK,62,BRITISH AIRWAYS,OSCT
January,Economy,UK,EEA,190,LOT-POLISH AIRLINES,UKBA
February,Economy,UK,UK,94,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,204,BRITISH AIRWAYS,Strategic Director Border
January,Economy,EEA,UK,108,JET2COM,Immigration Group
January,Economy,UK,UK,112,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,91,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,102,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,95,FLYBE BRITISH EUROPEAN,OSCT
January,Business Class,UK,Non EEA,2990,ETIHAD AIRWAYS,International Group
February,Economy,UK,UK,165,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
January,Economy,UK,UK,113,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,UK,151,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,120,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
January,Economy,UK,EEA,418,BRITISH AIRWAYS,UKBA
January,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,161,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,175,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,208,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,203,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,169,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,182,BMI,Strategic Director Border
January,Economy,UK,UK,109,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,82,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,EEA,UK,214,BRITISH AIRWAYS,Crime & Policing Group
February,Economy,UK,UK,60,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,210,BMI,Strategy & Reform Directorate
January,Economy,UK,EEA,161,KLM-ROYAL DUTCH AIRLINES,Strategic Director Border
January,Economy,UK,UK,140,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,Non EEA,236,ROYAL AIR MAROC,Resource Management Group
January,Economy,UK,UK,109,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,40,BRITISH AIRWAYS,OSCT
February,Economy,UK,UK,221,BRITISH AIRWAYS,HMIC
February,Economy,UK,UK,83,FLYBE BRITISH EUROPEAN,OSCT
January,Economy,UK,UK,150,BRITISH AIRWAYS,Finance & Commercial Group
January,Economy,UK,EEA,417,LUFTHANSA GERMAN AIRLINES,Science & Research Group
February,Economy,UK,EEA,335,BRITISH AIRWAYS,Crime & Policing Group
February,Economy,UK,UK,82,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,248,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,88,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
February,Economy,UK,EEA,335,BRITISH AIRWAYS,Crime & Policing Group
January,Economy,UK,UK,69,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,85,BMI,Strategic Director Border
February,Economy,UK,UK,105,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,EEA,431,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,271,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,126,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,277,BRITISH AIRWAYS,Strategic Director Border
January,Business Class,UK,Non EEA,2592,VIRGIN ATLANTIC,Strategic Director Border
January,Economy,UK,UK,177,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,190,FLYBE BRITISH EUROPEAN,Immigration Group
January,Business Class,UK,UK,189,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,82,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,44,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,182,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,EEA,190,LOT-POLISH AIRLINES,UKBA
February,Economy,UK,UK,20,BRITISH AIRWAYS,Strategic Director Border
January,Business Class,UK,Non EEA,2592,VIRGIN ATLANTIC,Strategic Director Border
January,Economy,UK,UK,131,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,277,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,180,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,EEA,95,EASYJET,Crime & Policing Group
January,Economy,UK,UK,203,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,175,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,182,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,110,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,80,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,199,BRITISH AIRWAYS,OSCT
January,Business Class,UK,UK,192,BRITISH AIRWAYS,Science & Research Group
January,Economy,UK,UK,124,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,EEA,417,LUFTHANSA GERMAN AIRLINES,Science & Research Group
January,Economy,UK,UK,88,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
January,Economy,UK,EEA,518,LUFTHANSA GERMAN AIRLINES,Science & Research Group
February,Economy,UK,UK,94,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,180,LUFTHANSA GERMAN AIRLINES,Immigration Group
January,Economy,UK,UK,174,BMI,Strategic Director Border
January,Economy,UK,EEA,285,BRITISH AIRWAYS,Crime & Policing Group
January,Economy,UK,UK,158,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,177,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,222,BRITISH AIRWAYS,Science & Research Group
January,Economy,UK,EEA,295,LOT-POLISH AIRLINES,Strategic Director Border
January,Business Class,UK,UK,204,BRITISH AIRWAYS,Finance & Commercial Group
January,Economy,UK,UK,136,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,Non EEA,236,ROYAL AIR MAROC,International Group
January,Business Class,UK,UK,219,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,EEA,286,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,80,EASYJET,Science & Research Group
January,Economy,UK,EEA,190,LOT-POLISH AIRLINES,UKBA
January,Economy,UK,UK,258,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,EEA,535,BMI,Policy & Strategy
January,Economy,UK,UK,202,BMI,Strategy & Reform Directorate
February,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Business Class,UK,UK,204,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,119,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,199,BRITISH AIRWAYS,OSCT
March,Premium Economy,UK,Non EEA,623,VIRGIN ATLANTIC,Strategy & Reform Directorate
January,Economy,UK,UK,103,FLYBE BRITISH EUROPEAN,Science & Research Group
January,Economy,UK,UK,49,EASYJET,Strategic Director Border
January,Economy,UK,UK,120,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,60,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,110,FLYBE BRITISH EUROPEAN,Strategic Director Border
