Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
February,Economy,UK,UK,123,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,Resource Management Group
March,Economy,UK,UK,207,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,EEA,313,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,286,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,EEA,389,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,2,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
February,Economy,UK,UK,231,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
April,Economy,Non EEA,Non EEA,188,CONTINENTAL AIRLINES,Science & Research Group
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
April,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,OSCT
March,Economy,UK,UK,166,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,EEA,321,BRITISH AIRWAYS,OSCT
March,Economy,UK,UK,168,BRITISH AIRWAYS,HMIC
March,Business Class,UK,UK,193,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,293,BRITISH AIRWAYS,OSCT
March,Economy,UK,EEA,218,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,EEA,282,BRITISH AIRWAYS,Science & Research Group
March,Economy,UK,EEA,85,BMI,Crime & Policing Group
February,Economy,UK,EEA,459,BMI,Strategic Director Border
February,Business Class,UK,UK,208,BRITISH AIRWAYS,Finance & Commercial Group
February,Economy,UK,EEA,313,AIR MALTA,Strategic Director Border
February,Economy,UK,UK,288,FLYBE BRITISH EUROPEAN,HMIC
April,Economy,UK,UK,114,BRITISH AIRWAYS,Group HR
March,Economy,UK,EEA,218,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,100,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,EEA,313,AIR MALTA,Strategic Director Border
March,Economy,UK,EEA,196,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,116,FLYBE BRITISH EUROPEAN,HMIC
February,Economy,UK,EEA,389,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,100,FLYBE BRITISH EUROPEAN,Science & Research Group
February,Economy,UK,UK,210,BRITISH AIRWAYS,Group HR
March,Economy,UK,UK,87,EASYJET,Strategic Director Border
February,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Business Class,UK,Non EEA,2618,BRITISH AIRWAYS,OSCT
February,Economy,UK,EEA,389,AIR MALTA,Strategic Director Border
February,Economy,UK,UK,210,BRITISH AIRWAYS,Group HR
February,Economy,UK,EEA,459,BMI,Strategic Director Border
April,Economy,UK,UK,140,BRITISH AIRWAYS,OSCT
February,Economy,UK,EEA,459,BMI,Strategic Director Border
February,Economy,UK,UK,0,BRITISH AIRWAYS,IPS
February,Economy,UK,Non EEA,0,BRITISH AIRWAYS,Policy & Strategy
March,Economy,UK,UK,0,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
March,Economy,UK,UK,0,BMI,Strategic Director Border
March,Business Class,Non EEA,Non EEA,0,KENYA AIRWAYS,International Group
March,Business Class,Non EEA,Non EEA,0,KENYA AIRWAYS,International Group
February,Business Class,UK,UK,0,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Business Class,Non EEA,Non EEA,0,KENYA AIRWAYS,International Group
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,189,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,81,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,81,FLYBE BRITISH EUROPEAN,CRB
April,Economy,UK,UK,186,EASTERN AIRWAYS,CRB
April,Economy,UK,UK,186,EASTERN AIRWAYS,CRB
May,Economy,UK,UK,186,EASTERN AIRWAYS,CRB
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,107,EASYJET,IPS
March,Economy,UK,UK,60,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,101,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,123,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,101,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,128,EASYJET,IPS
March,Economy,UK,UK,105,EASYJET,IPS
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,159,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,93,EASYJET,IPS
March,Economy,UK,UK,144,EASYJET,IPS
March,Economy,UK,UK,244,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,63,EASYJET,IPS
March,Economy,UK,UK,93,EASYJET,IPS
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,107,EASYJET,IPS
March,Economy,UK,UK,135,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,182,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,50,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,35,BMI BABY,IPS
March,Economy,UK,UK,46,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,170,MANX2,IPS
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,122,EASYJET,IPS
March,Economy,UK,UK,63,EASYJET,IPS
March,Economy,UK,UK,66,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,66,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,186,EASTERN AIRWAYS,IPS
March,Economy,UK,UK,79,EASYJET,IPS
March,Economy,UK,UK,139,BMI,IPS
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,91,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,72,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,189,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,97,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,102,EASYJET,IPS
March,Economy,UK,UK,237,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,158,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,58,EASYJET,IPS
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,113,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,140,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,66,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,94,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,25,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,45,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,171,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,254,BMI,IPS
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,319,BMI,IPS
November,Economy,UK,UK,79,EASYJET,IPS
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,117,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,260,EASTERN AIRWAYS,IPS
March,Economy,UK,UK,49,EASYJET,IPS
March,Economy,UK,UK,33,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,18,EASYJET,IPS
March,Business Class,UK,UK,125,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,176,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,23,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,61,EASYJET,IPS
March,Economy,UK,UK,103,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,6,EASYJET,IPS
March,Economy,UK,UK,349,BMI,IPS
March,Economy,UK,UK,195,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,66,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,176,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,155,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,236,BRITISH AIRWAYS,IPS
May,Business Class,UK,Non EEA,3600,AIR CANADA,IPS
March,Economy,UK,UK,195,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,EEA,288,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,290,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,319,BMI,IPS
March,Economy,UK,UK,215,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,264,BMI,IPS
March,Economy,UK,UK,91,EASYJET,IPS
May,Business Class,UK,Non EEA,3600,AIR CANADA,IPS
March,Economy,UK,UK,323,BMI,IPS
March,Economy,UK,UK,170,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,294,BMI,IPS
March,Business Class,UK,UK,242,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,91,EASYJET,IPS
March,Economy,UK,UK,91,EASYJET,IPS
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,EEA,31,EASYJET,IPS
March,Economy,UK,UK,80,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,117,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,167,EASYJET,IPS
March,Economy,UK,UK,209,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,92,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,83,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,132,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,184,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,116,BMI,IPS
April,Economy,UK,UK,56,EASYJET,IPS
April,Economy,UK,UK,68,EASYJET,IPS
March,Economy,UK,UK,33,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,319,BMI,IPS
March,Economy,UK,UK,224,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,91,BRITISH AIRWAYS,IPS
April,Economy,UK,UK,5,FLYBE BRITISH EUROPEAN,IPS
March,Business Class,UK,UK,106,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,225,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,240,BMI,IPS
March,Economy,UK,UK,72,EASYJET,IPS
April,Economy,UK,UK,68,EASYJET,IPS
April,Economy,UK,UK,33,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,56,EASYJET,IPS
March,Economy,UK,UK,108,EASYJET,IPS
March,Economy,UK,UK,319,BMI,IPS
March,Economy,UK,UK,225,BRITISH AIRWAYS,IPS
April,Economy,UK,UK,207,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,104,BMI,IPS
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,126,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,248,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,319,BMI,IPS
April,Economy,UK,UK,110,EASYJET,IPS
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,252,BRITISH AIRWAYS,IPS
May,Premium Economy,UK,Non EEA,1635,VIRGIN ATLANTIC,IPS
March,Economy,UK,UK,268,EASTERN AIRWAYS,ISA
March,Economy,UK,UK,126,FLYBE BRITISH EUROPEAN,ISA
April,Economy,UK,UK,86,EASYJET,ISA
March,Economy,UK,Non EEA,306,LUFTHANSA GERMAN AIRLINES,Policy & Strategy
March,Business Class,UK,Non EEA,2303,EMIRATES,Private Office
March,Economy,UK,UK,131,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,Non EEA,498,LUFTHANSA GERMAN AIRLINES,Policy & Strategy
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,203,BMI,Immigration Group
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,39,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,277,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,266,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
March,Business Class,UK,UK,250,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,301,FLYBE BRITISH EUROPEAN,Immigration Group
April,Business Class,UK,Non EEA,1766,EMIRATES,OSCT
March,Economy,UK,UK,181,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,88,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,127,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,Non EEA,447,ETIHAD AIRWAYS,OSCT
March,Economy,UK,UK,279,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,Non EEA,582,ETIHAD AIRWAYS,International Group
March,Economy,UK,UK,279,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,308,EASYJET,Strategic Director Border
March,Economy,UK,EEA,344,AIR MALTA,International Group
March,Economy,EEA,UK,5,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,273,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,216,BRITISH AIRWAYS,Science & Research Group
March,Economy,UK,UK,179,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,220,EASTERN AIRWAYS,Immigration Group
March,Economy,UK,UK,123,FLYBE BRITISH EUROPEAN,Finance & Commercial Group
March,Economy,UK,Non EEA,306,LUFTHANSA GERMAN AIRLINES,Policy & Strategy
March,Economy,UK,UK,171,BRITISH AIRWAYS,Resource Management Group
March,Business Class,UK,Non EEA,2303,EMIRATES,Private Office
March,Economy,UK,UK,102,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,128,BRITISH AIRWAYS,Strategy & Reform Directorate
April,Economy,UK,UK,122,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,UK,56,BMI,Strategy & Reform Directorate
March,Economy,UK,UK,142,EASYJET,OSCT
March,Economy,UK,UK,192,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,291,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
March,Economy,UK,EEA,99,EASYJET,Immigration Group
March,Economy,UK,UK,191,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Business Class,UK,Non EEA,2609,BMI,OSCT
March,Economy,UK,UK,194,EASYJET,Strategic Director Border
March,Economy,UK,EEA,61,AER LINGUS,Strategic Director Border
March,Business Class,UK,UK,170,BRITISH AIRWAYS,Science & Research Group
March,Economy,UK,UK,79,EASYJET,Strategic Director Border
March,Economy,UK,UK,204,FLYBE BRITISH EUROPEAN,HMIC
March,Business Class,UK,UK,219,BRITISH AIRWAYS,Policy & Strategy
March,Economy,UK,UK,123,BRITISH AIRWAYS,Immigration Group
March,Business Class,UK,EEA,396,BRITISH AIRWAYS,OSCT
March,Economy,UK,Non EEA,750,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,EEA,264,BRITISH AIRWAYS,International Group
March,Business Class,UK,Non EEA,678,TURKISH AIRLINES,Policy & Strategy
March,Economy,UK,UK,105,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,178,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,308,EASYJET,Strategic Director Border
March,Economy,UK,UK,194,EASYJET,Strategic Director Border
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
March,Economy,UK,Non EEA,270,TURKISH AIRLINES,Policy & Strategy
March,Economy,UK,EEA,60,AIR MALTA,International Group
March,Economy,UK,UK,203,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,216,BRITISH AIRWAYS,Strategic Director Border
March,Business Class,UK,UK,296,BRITISH AIRWAYS,Policy & Strategy
March,Business Class,UK,UK,182,BRITISH AIRWAYS,Strategic Director Border
March,Business Class,UK,Non EEA,1762,EMIRATES,OSCT
March,Economy,UK,UK,49,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,Non EEA,469,LUFTHANSA GERMAN AIRLINES,Policy & Strategy
March,Economy,UK,UK,200,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
March,Economy,EEA,UK,342,AIR MALTA,Strategic Director Border
March,Economy,UK,Non EEA,273,TURKISH AIRLINES,Policy & Strategy
March,Economy,UK,UK,127,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,160,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,90,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,HMIC
March,Economy,UK,Non EEA,469,LUFTHANSA GERMAN AIRLINES,Policy & Strategy
March,Economy,UK,UK,95,EASYJET,HMIC
March,Economy,UK,UK,222,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,178,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,97,FLYBE BRITISH EUROPEAN,Group HR
March,Economy,UK,UK,95,EASYJET,HMIC
March,Economy,UK,UK,236,BMI,Strategic Director Border
April,Economy,UK,UK,140,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,EEA,UK,342,AIR MALTA,Strategic Director Border
March,Business Class,UK,UK,223,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,51,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,157,BRITISH AIRWAYS,HROD
March,Business Class,UK,UK,182,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,279,BRITISH AIRWAYS,Science & Research Group
March,Economy,UK,UK,162,BRITISH AIRWAYS,HROD
March,Business Class,UK,UK,167,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Business Class,UK,UK,193,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,166,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,13,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,EEA,211,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,169,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,169,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,60,BRITISH AIRWAYS,HMIC
March,Economy,UK,UK,155,BRITISH AIRWAYS,Resource Management Group
March,Economy,UK,Non EEA,382,CONTINENTAL AIRLINES,International Group
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,60,BMI BABY,Resource Management Group
March,Economy,UK,UK,103,FLYBE BRITISH EUROPEAN,OSCT
March,Business Class,UK,EEA,551,BRITISH AIRWAYS,International Directorate
March,Economy,UK,EEA,183,BRITISH AIRWAYS,SIG
March,Economy,UK,UK,95,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,129,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,165,EASTERN AIRWAYS,Strategic Director Border
March,Economy,UK,UK,113,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,Non EEA,447,ETIHAD AIRWAYS,International Group
March,Business Class,UK,UK,106,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,70,BRITISH AIRWAYS,HROD
March,Economy,UK,EEA,61,AER LINGUS,Strategic Director Border
March,Economy,UK,EEA,178,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,169,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,65,EASYJET,Strategic Director Border
March,Economy,UK,UK,90,EASYJET,Science & Research Group
March,Economy,UK,UK,91,BRITISH AIRWAYS,HROD
March,Economy,UK,UK,87,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,39,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,EEA,UK,342,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,157,BRITISH AIRWAYS,HROD
March,Economy,UK,UK,139,BRITISH AIRWAYS,OSCT
March,Economy,UK,UK,105,FLYBE BRITISH EUROPEAN,Strategic Director Border
April,Economy,UK,UK,88,FLYBE BRITISH EUROPEAN,Finance & Commercial Group
March,Economy,UK,EEA,87,AEROSVIT AIRLINES,Policy & Strategy
March,Economy,UK,UK,222,BRITISH AIRWAYS,Immigration Group
June,Economy,UK,UK,93,BRITISH AIRWAYS,Immigration Group
May,Economy,UK,EEA,236,KLM-ROYAL DUTCH AIRLINES,Strategy & Reform Directorate
March,Economy,UK,UK,190,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Business Class,UK,Non EEA,3930,BRITISH AIRWAYS,Immigration Group
March,Business Class,UK,Non EEA,3930,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,190,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,232,EASTERN AIRWAYS,OSCT
April,Economy,UK,UK,12,BRITISH AIRWAYS,HMIC
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,96,EASYJET,OSCT
March,Economy,UK,UK,252,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,178,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,101,EASYJET,Finance & Commercial Group
March,Business Class,UK,UK,208,BRITISH AIRWAYS,Finance & Commercial Group
March,Economy,UK,EEA,168,OLYMPIC AIR,Strategic Director Border
March,Economy,EEA,UK,139,SAS SCANDINAVIAN AIRLINES,Immigration Group
March,Economy,UK,UK,286,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,174,BMI,Strategic Director Border
March,Economy,EEA,UK,186,BRITISH AIRWAYS,Policy & Strategy
March,Economy,UK,EEA,380,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,91,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,144,BRITISH AIRWAYS,Immigration Group
March,Business Class,UK,UK,121,BRITISH AIRWAYS,Criminal & Detention Group
April,Economy,UK,EEA,168,BRITISH AIRWAYS,UKBA
March,Economy,UK,UK,332,EASTERN AIRWAYS,OSCT
March,Economy,UK,UK,192,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,190,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,207,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,EEA,UK,337,AIR MALTA,Strategic Director Border
March,Business Class,UK,UK,247,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,52,BRITISH AIRWAYS,Immigration Group
March,Business Class,UK,UK,226,BRITISH AIRWAYS,HROD
March,Economy,UK,UK,216,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,183,AIR FRANCE,Immigration Group
March,Economy,UK,UK,70,BRITISH AIRWAYS,HROD
March,Economy,UK,UK,121,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,114,BRITISH AIRWAYS,OSCT
March,Business Class,UK,UK,211,BRITISH AIRWAYS,Science & Research Group
March,Economy,UK,UK,191,BRITISH AIRWAYS,Science & Research Group
March,Economy,UK,UK,170,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,149,FLYBE BRITISH EUROPEAN,Immigration Group
July,Business Class,Non EEA,Non EEA,1046,AIR NIGERIA,Strategy & Reform Directorate
April,Economy,UK,EEA,90,EASYJET,Strategic Director Border
April,Economy,UK,Non EEA,718,DELTA AIR LINES,Science & Research Group
April,Economy,UK,EEA,90,EASYJET,Strategic Director Border
April,Economy,UK,Non EEA,773,IBERIA,Science & Research Group
July,Business Class,UK,Non EEA,2112,AIR FRANCE,Strategy & Reform Directorate
April,Economy,UK,Non EEA,75,EMIRATES,Immigration Group
April,Economy,UK,Non EEA,686,EMIRATES,Immigration Group
July,Premium Economy,UK,Non EEA,1255,VIRGIN ATLANTIC,Strategy & Reform Directorate
May,Economy,EEA,UK,71,BRITISH AIRWAYS,Strategy & Reform Directorate
April,Economy,UK,UK,97,FLYBE BRITISH EUROPEAN,Immigration Group
April,Economy,UK,UK,146,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,EEA,176,KLM-ROYAL DUTCH AIRLINES,Immigration Group
March,Business Class,UK,UK,167,BRITISH AIRWAYS,HROD
May,Economy,UK,UK,60,BRITISH AIRWAYS,Strategic Director Border
July,Premium Economy,UK,Non EEA,1255,VIRGIN ATLANTIC,Strategy & Reform Directorate
March,Economy,UK,EEA,278,KLM-ROYAL DUTCH AIRLINES,Immigration Group
March,Economy,UK,Non EEA,135,ETIHAD AIRWAYS,International Group
March,Economy,UK,Non EEA,408,ETIHAD AIRWAYS,International Group
March,Economy,UK,UK,168,BRITISH AIRWAYS,Crime & Policing Group
April,Economy,UK,UK,103,BRITISH AIRWAYS,OSCT
April,Economy,UK,EEA,90,EASYJET,Strategic Director Border
April,Economy,UK,UK,114,BRITISH AIRWAYS,OSCT
April,Economy,UK,UK,83,BRITISH AIRWAYS,Finance & Commercial Group
March,Economy,UK,EEA,273,AUSTRIAN AIRLINES,Crime & Policing Group
March,Economy,UK,EEA,273,AUSTRIAN AIRLINES,Crime & Policing Group
May,Economy,UK,UK,48,AIR FRANCE,Immigration Group
April,Economy,UK,EEA,198,BRITISH AIRWAYS,Science & Research Group
March,Economy,UK,EEA,245,BRITISH AIRWAYS,SIG
March,Economy,UK,UK,26,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,119,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,EEA,13,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,275,BMI,Strategic Director Border
March,Economy,UK,UK,109,EASYJET,Science & Research Group
March,Economy,UK,UK,60,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,236,BRITISH AIRWAYS,Strategic Director Border
April,Economy,UK,UK,97,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,EEA,506,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,75,EASYJET,Finance & Commercial Group
March,Economy,UK,UK,178,BRITISH AIRWAYS,Policy & Strategy
March,Economy,UK,UK,25,BRITISH AIRWAYS,Strategy & Reform Directorate
April,Economy,UK,Non EEA,709,BRITISH AIRWAYS,Strategic Director Border
July,Business Class,Non EEA,Non EEA,1046,AIR NIGERIA,Strategy & Reform Directorate
